GeoType;GEOID;name;TotalPop;happening;happeningOppose;real_parthuman;real_parthumanOppose;real_human;real_humanOppose;captrade_bin;captrade_binOppose;carbon_tax_bin;carbon_tax_binOppose
Riding;59027;Saanich-Gulf Islands;88930;85.619;9.242;68.132;31.868;49.868;50.132;68.536;25.906;60.223;33.024
Riding;59028;Skeena-Bulkley Valley;71735;83.089;11.81;63.151;36.849;42.209;57.791;66.753;27.739;55.101;38.111
Riding;59029;South Okanagan-West Kootenay;93865;82.63;12.365;63.418;36.582;43.066;56.934;65.521;28.662;55.949;36.842
Riding;59030;South Surrey-White Rock;78655;81.132;12.655;63.359;36.641;44.192;55.808;65.031;29.235;55.211;37.638
Riding;59031;Steveston-Richmond East;82210;82.559;10.864;64.991;35.009;44.299;55.701;65.066;27.778;59.505;33.828
Riding;59032;Surrey Centre;89635;87.362;8.325;70.891;29.109;49.781;50.219;67.926;25;63.396;29.045
Riding;59033;Surrey-Newton;82690;89.979;6.312;75.449;24.551;53.893;46.107;70.022;22.496;68.328;25.106
Riding;59034;Vancouver Centre;94745;87.517;7.238;72.6;27.4;52.152;47.848;70.785;23.758;69.042;25.248
Riding;59035;Vancouver East;92210;90.233;6.327;77.821;22.179;56.04;43.96;71.65;22.051;69.425;24.804
Riding;59036;Vancouver Granville;87145;86.863;7.851;72.168;27.832;51.616;48.384;69.592;24.337;65.998;27.901
Riding;59037;North Island-Powell River;85645;82.369;12.08;60.037;39.963;39.884;60.116;65.205;28.559;55.6;36.983
Riding;59038;Vancouver Kingsway;86895;87.907;7.452;72.439;27.561;52.613;47.387;69.797;23.437;65.939;27.185
Riding;59039;Vancouver Quadra;86165;86.379;8.204;72.441;27.559;50.853;49.147;69.459;24.796;66.491;26.905
Riding;59040;Vancouver South;84510;84.808;9.02;67.329;32.671;47.781;52.219;67.045;25.609;63.315;29.441
Riding;59041;Victoria;94185;88.153;6.934;74.603;25.397;55.009;44.991;71.32;23.168;67.473;26.438
Riding;59042;West Vancouver-Sunshine Coast-Sea to Sky Country;93515;83.583;10.719;65.231;34.769;44.737;55.263;66.473;27.55;61.496;31.709
