GeoType;GEOID;name;TotalPop;happening;happeningOppose;real_parthuman;real_parthumanOppose;real_human;real_humanOppose;captrade_bin;captrade_binOppose;carbon_tax_bin;carbon_tax_binOppose
Riding;35025;Elgin-Middlesex-London;87265;74.036;17.94;55.345;44.655;40.665;59.335;62.896;29.174;42.831;51.231
Riding;35026;Essex;94935;75.069;17.739;57.135;42.865;43.426;56.574;64.834;28.491;41.831;52.016
Riding;35027;Etobicoke Centre;95765;77.63;14.325;59.028;40.972;46.401;53.599;66.943;26.213;49.732;43.381
Riding;35028;Etobicoke-Lakeshore;98735;79.599;13.306;61.327;38.673;48.147;51.853;67.617;25.493;52.116;41.095
Riding;35029;Etobicoke North;92575;84.026;9.768;68.943;31.057;51.088;48.912;68.725;22.834;58.744;34.303
Riding;35030;Flamborough-Glanbrook;77235;75.74;17.837;58.653;41.347;42.888;57.112;64.023;28.908;43.44;49.389
Riding;35031;Glengarry-Prescott-Russell;77370;74.277;19.435;55.803;44.197;42.754;57.246;63.873;28.07;38.326;55.593
Riding;35032;Guelph;98675;84.883;11.464;69.54;30.46;50.403;49.597;68.995;23.97;52.558;41.079
Riding;35033;Haldimand-Norfolk;87920;75.497;17.695;56.634;43.366;41.072;58.928;64.063;28.612;42.273;51.674
Riding;35034;Haliburton-Kawartha Lakes-Brock;92230;74.075;18.249;55.079;44.921;40.021;59.979;62.433;29.537;44.699;48.512
Riding;35035;Hamilton Centre;82630;85.241;9.529;69.482;30.518;52.927;47.073;70.047;22.358;58.184;34.459
Riding;35036;Hamilton East-Stoney Creek;89300;81.367;12.969;64.793;35.207;48.211;51.789;67.258;25.147;50.525;42.386
Riding;35037;Hamilton Mountain;85165;82.74;12.446;66.623;33.377;50.221;49.779;68.359;24.587;50.991;41.44
Riding;35038;Hamilton West-Ancaster-Dundas;88205;81.526;13.403;66.636;33.364;48.859;51.141;67.291;25.728;49.935;43.791
Riding;35039;Hastings-Lennox and Addington;75535;74.82;17.875;55.478;44.522;41.38;58.62;63.472;28.955;43.78;49.21
Riding;35040;Huron-Bruce;85560;72.627;19.981;52.478;47.522;38.409;61.591;63.02;29.962;40.468;52.061
Riding;35041;Kanata-Carleton;78135;78.863;15.125;62.996;37.004;46.286;53.714;65.351;27.286;49.226;43.827
Riding;35042;Kenora;42635;75.756;16.894;53.328;46.672;36.413;63.587;64.217;27.77;47.775;44.578
Riding;35043;King-Vaughan;84345;76.591;16.749;61.03;38.97;44.073;55.927;64.01;28.345;46.712;45.375
Riding;35044;Kingston and the Islands;95465;83.593;11.711;67.98;32.02;51.262;48.738;68.772;24.248;52.702;39.841
Riding;35045;Kitchener Centre;85330;81.427;13.213;65.64;34.36;47.531;52.469;67.097;25.528;49.971;42.869
Riding;35046;Kitchener-Conestoga;71815;76.591;17.306;59.295;40.705;43.014;56.986;64.174;28.557;43.392;49.475
Riding;35047;Kitchener South-Hespeler;77035;79.54;15.676;63.458;36.542;45.124;54.876;64.932;27.526;45.911;47.582
Riding;35048;Lambton-Kent-Middlesex;84610;74.201;18.28;54.167;45.833;40.165;59.835;62.694;29.422;42.996;49.932
Riding;35049;Lanark-Frontenac-Kingston;80615;73.695;19.431;55.268;44.732;40.177;59.823;62.576;30.003;41.678;52.179
Riding;35050;Leeds-Grenville-Thousand Islands and Rideau Lakes;82175;72.367;19.801;54.216;45.784;39.431;60.569;62.287;30.244;41.195;52.046
Riding;35051;London-Fanshawe;96060;83.784;11.674;69.27;30.73;50.612;49.388;68.177;24.263;52.239;41.078
Riding;35052;London North Centre;99425;83.294;11.425;68.039;31.961;49.981;50.019;68.35;24.271;52.612;41.365
Riding;35053;London West;97500;80.815;13.689;65.126;34.874;47.702;52.298;66.789;25.992;51.265;41.943
Riding;35054;Markham-Stouffville;86785;80.453;13.962;65.319;34.681;46.624;53.376;65.91;26.402;51.383;41.628
Riding;35055;Markham-Thornhill;86430;87.194;8.368;74.19;25.81;52.7;47.3;68.986;21.714;63.206;30.25
Riding;35056;Markham-Unionville;85700;83.961;10.811;69.575;30.425;48.369;51.631;67.364;23.899;58.967;34.071
Riding;35057;Milton;65290;78.569;16.161;61.152;38.848;43.343;56.657;64.772;27.924;45.872;47.349
Riding;35058;Mississauga Centre;99100;84.135;11.433;69.516;30.484;49.263;50.737;67.849;24.324;56.794;36.305
Riding;35059;Mississauga East-Cooksville;100850;79.847;13.658;64.296;35.704;47.198;52.802;66.592;25.878;50.205;43.144
Riding;35060;Mississauga-Erin Mills;93695;82.163;12.926;67.266;32.734;47.001;52.999;66.876;25.539;52.132;41.557
Riding;35061;Mississauga-Lakeshore;97995;78.855;14.546;62.552;37.448;46.283;53.717;66.133;26.694;49.279;43.235
Riding;35062;Mississauga-Malton;92830;85.002;10.379;71.034;28.966;50.801;49.199;68.398;23.422;57.753;34.796
Riding;35063;Mississauga-Streetsville;95105;80.47;13.921;63.902;36.098;46.536;53.464;66.567;26.174;49.437;44.017
Riding;35064;Nepean;80985;79.288;14.267;59.626;40.374;46.018;53.982;65.865;26.642;50.346;42.239
Riding;35065;Newmarket-Aurora;86925;78.559;15.863;62.866;37.134;44.825;55.175;64.753;27.728;47.475;44.746
Riding;35066;Niagara Centre;86695;80.696;15.103;65.077;34.923;46.732;53.268;66.617;26.452;46.219;46.937
Riding;35067;Niagara Falls;105620;76.078;17.328;60.6;39.4;42.91;57.09;63.949;28.582;44.681;48.336
Riding;35068;Niagara West;69685;73.163;19.368;56.033;43.967;41.39;58.61;62.862;29.959;42.535;50.783
Riding;35069;Nickel Belt;68625;79.082;18.972;54.999;45.001;37.201;62.799;66.861;26.797;39.304;53.869
Riding;35070;Nipissing-Timiskaming;73060;79.378;15.603;59.877;40.123;42.899;57.101;66.731;26.312;45.915;47.098
Riding;35071;Northumberland-Peterborough South;88850;76.153;17.259;56.811;43.189;42.389;57.611;63.956;28.577;45.522;47.633
Riding;35072;Oakville;97645;77.001;15.772;61.382;38.618;44.864;55.136;65.381;27.548;47.707;45.971
Riding;35073;Oakville North-Burlington;85605;77.508;16.21;62.582;37.418;44.807;55.193;65.221;27.861;47.566;44.994
Riding;35074;Oshawa;104070;76.879;15.778;60.262;39.738;43.464;56.536;64.366;27.681;46.686;46.597
Riding;35075;Ottawa Centre;95230;87.112;7.984;74.297;25.703;57.811;42.189;72.103;20.921;64.185;29.509
Riding;35076;Orleans;90845;77.02;15.008;60.697;39.303;46.888;53.112;66.308;26.299;47.75;45.997
Riding;35077;Ottawa South;97825;83.178;10.682;67.89;32.11;50.963;49.037;69.039;23.341;58.159;34.408
Riding;35078;Ottawa-Vanier;88535;83.093;10.306;67.484;32.516;53.215;46.785;69.799;22.557;55;39.286
Riding;35079;Ottawa West-Nepean;91710;81.018;12.444;66.51;33.49;48.667;51.333;66.877;25.218;55.79;37.121
Riding;35080;Oxford;87015;74.144;18.662;55.677;44.323;40.183;59.817;62.594;29.598;43.461;48.408
Riding;35081;Parkdale-High Park;86940;87.19;7.478;73.986;26.014;58.155;41.845;72.874;20.289;64.359;29.582
Riding;35082;Parry Sound-Muskoka;76235;75.408;17.135;56.643;43.357;41.101;58.899;63.425;28.669;46.74;45.944
Riding;35083;Perth-Wellington;82440;71.953;18.957;53.339;46.661;40.425;59.575;63.133;29.503;41.341;49.831
Riding;35084;Peterborough-Kawartha;95955;76.242;15.987;56.691;43.309;42.596;57.404;64.85;27.637;48.281;42.959
Riding;35085;Pickering-Uxbridge;89415;79.65;14.522;62.789;37.211;46.087;53.913;66.079;26.623;48.669;44.693
Riding;35086;Renfrew-Nipissing-Pembroke;82975;74.591;18.903;54.978;45.022;40.479;59.521;63.436;29.418;41.038;52.154
Riding;35087;Richmond Hill;92800;83.597;11.032;68.586;31.414;48.769;51.231;67.84;24.019;57.354;35.848
Riding;35088;Carleton;68610;73.478;19.187;56.183;43.817;40.877;59.123;63.047;29.901;43.128;50.113
Riding;35089;St. Catharines;92390;76.011;15.99;60.06;39.94;44.753;55.247;64.733;27.668;45.75;47.132
Riding;35090;Toronto-St. Paul's;89430;84.127;9.352;70.782;29.218;52.849;47.151;70.139;22.432;62.938;30.38
Riding;35091;Sarnia-Lambton;87510;75.058;17.51;57.086;42.914;40.457;59.543;63.861;28.617;44.517;47.158
Riding;35092;Sault Ste. Marie;68325;79.463;14.949;61.648;38.352;46.268;53.732;66.576;26.483;46.208;47.522
Riding;35093;Scarborough-Agincourt;89535;85.083;8.988;68.998;31.002;51.191;48.809;69.001;21.928;61.906;30.787
Riding;35094;Scarborough Centre;88685;81.547;10.546;63.243;36.757;49.61;50.39;68.183;23.551;57.222;36.085
Riding;35095;Scarborough-Guildwood;81540;83.094;10.129;67.578;32.422;50.276;49.724;68.428;23.276;58.655;34.026
Riding;35096;Scarborough North;84130;86.322;8.471;71.919;28.081;52.072;47.928;69.123;21.511;62.462;29.508
Riding;35097;Scarborough-Rouge Park;84130;84.725;10.06;70.442;29.558;51.932;48.068;69.28;23.059;56.891;36.991
Riding;35098;Scarborough Southwest;86130;82.273;10.258;64.883;35.117;50.245;49.755;68.809;23.249;57.421;35.628
Riding;35099;Simcoe-Grey;94620;78.236;16.286;61.921;38.079;44.141;55.859;64.964;27.763;46.237;46.223
Riding;35100;Simcoe North;89655;75.811;17.286;59.142;40.858;42.744;57.256;63.777;28.552;46.665;45.283
Riding;35101;Spadina-Fort York;75610;87.65;7.554;74.409;25.591;55.468;44.532;72.247;20.56;66.032;28.108
Riding;35102;Stormont-Dundas-South Glengarry;79730;68.603;21.715;50.319;49.681;39.112;60.888;61.326;30.903;40.086;52.785
Riding;35103;Sudbury;73560;81.035;15.855;61.657;38.343;41.61;58.39;67.936;25.72;45.502;47.475
Riding;35104;Thornhill;90825;80.259;12.514;65.725;34.275;44.354;55.646;64.385;26.156;58.286;34.331
Riding;35105;Thunder Bay-Rainy River;68500;83.772;13.091;65.007;34.993;46.689;53.311;68.801;24.661;48.236;45.615
Riding;35106;Thunder Bay-Superior North;67850;80.743;14.548;59.849;40.151;43.699;56.301;68.18;25.449;45.381;49.13
Riding;35107;Timmins-James Bay;62585;77.642;19.069;52.788;47.212;35.115;64.885;65.892;27.177;41.929;50.478
Riding;35108;Toronto Centre;80835;87.221;6.986;73.447;26.553;56.876;43.124;72.341;20.331;68.376;25.628
Riding;35109;Toronto-Danforth;86980;88.641;7.103;76.211;23.789;58.426;41.574;72.78;19.808;66.047;27.248
Riding;35110;University-Rosedale;85730;87.277;7.023;75.023;24.977;56.674;43.326;72.368;20.103;67.562;26.621
Riding;35111;Vaughan-Woodbridge;83545;74.493;18.714;56.726;43.274;42.274;57.726;63.538;29.208;40.943;52.707
Riding;35112;Waterloo;83785;83.433;12.398;69.229;30.771;50.779;49.221;67.841;25.134;51.18;40.693
Riding;35113;Wellington-Halton Hills;91565;73.427;19.462;56.49;43.51;40.159;59.841;62.243;30.26;42.413;51.234
Riding;35114;Whitby;94605;74.057;17.683;56.508;43.492;42.302;57.698;63.535;29.05;44.539;49.243
Riding;35115;Willowdale;96485;83.203;9.936;67.898;32.102;50.306;49.694;68.492;23.283;61.555;32.062
Riding;35116;Windsor-Tecumseh;94495;81.988;13.178;65.996;34.004;50.156;49.844;68.126;25.166;48.858;44.366
Riding;35117;Windsor West;95830;82.304;11.529;66.178;33.822;50.582;49.418;68.588;24.096;53.52;39.687
Riding;35118;York Centre;83600;77.826;13.087;62.271;37.729;45.973;54.027;65.827;25.681;53.584;39.688
Riding;35119;York-Simcoe;76050;75.104;18.619;57.165;42.835;39.964;60.036;62.03;29.827;42.542;50.981
Riding;35120;York South-Weston;93765;82.445;11.056;66.07;33.93;52.133;47.867;69.431;23.232;53.765;39.055
Riding;35121;Humber River-Black Creek;85995;84.847;9.051;69.615;30.385;54.433;45.567;70.154;21.792;58.857;34.057
Riding;46001;Brandon-Souris;130070;65.458;26.832;50.969;49.031;35.657;64.343;61.299;31.42;45.41;45.743
Riding;46002;Charleswood-St. James-Assiniboia-Headingley;67285;72.695;21.828;61.652;38.348;43.266;56.734;63.73;29.116;49.414;43.116
Riding;46003;Churchill-Keewatinook Aski;57425;73.045;19.539;53.369;46.631;39.559;60.441;67.134;26.185;51.199;40.327
Riding;46004;Dauphin-Swan River-Neepawa;66965;61.234;28.136;46.002;53.998;33.044;66.956;60.327;32.094;45.116;45.603
Riding;46005;Elmwood-Transcona;69215;74.858;19.088;60.711;39.289;45.3;54.7;65.43;27.313;51.418;40.993
Riding;46006;Kildonan-St. Paul;67165;69.905;23.572;57.149;42.851;41.687;58.313;63.281;29.815;48.006;43.824
Riding;46007;Portage-Lisgar;64895;55.96;32.457;42.427;57.573;32.296;67.704;58.215;34.384;39.048;52.749
Riding;46008;Provencher;65155;61.142;30.865;45.597;54.403;33.985;66.015;59.438;33.37;40.381;51.364
Riding;46009;Saint Boniface-Saint Vital;66925;74.96;19.523;60.514;39.486;44.82;55.18;65.257;27.456;51.717;40.234
Riding;46010;Selkirk-Interlake-Eastman;292380;63.925;27.629;53.988;46.012;34.806;65.194;60.682;31.992;43.316;48.172
Riding;46011;Winnipeg Centre;64465;80.64;13.605;68.388;31.612;52.022;47.978;69.387;23.647;60.925;31.59
Riding;46012;Winnipeg North;68740;80.297;15.172;66.745;33.255;50.982;49.018;69.088;24.308;55.087;37.108
Riding;46013;Winnipeg South;68400;75.191;19.214;62.47;37.53;44.881;55.119;65.536;27.491;52.521;40.031
Riding;46014;Winnipeg South Centre;75630;80.524;15.309;69.345;30.655;50.89;49.11;68.093;25.036;57.647;35.016
Riding;47001;Battlefords-Lloydminster;53070;60.721;29.125;38.975;61.025;26.179;73.821;59.112;34.164;37.917;54.766
Riding;47002;Cypress Hills-Grasslands;52240;60.538;29.986;42.302;57.698;27.345;72.655;58.356;34.99;39.021;53.187
Riding;47003;Desnethe-Missinippi-Churchill River;47960;65.76;22.207;44.896;55.104;33.219;66.781;62.79;30.271;46.123;44.767
Riding;47004;Carlton Trail-Eagle Creek;54985;62.716;28.411;44.973;55.027;30.099;69.901;59.33;34.251;38.038;55.267
Riding;47005;Moose Jaw-Lake Centre-Lanigan;60830;67.292;25.974;51.133;48.867;32.731;67.269;61.062;32.743;40.855;51.399
Riding;47006;Prince Albert;60410;66.587;25.002;48.338;51.662;33.926;66.074;61.029;32.313;41.834;50.648
Riding;47007;Regina-Lewvan;64555;78.768;17.613;63.94;36.06;44.581;55.419;66.306;27.892;46.655;46.781
Riding;47008;Regina-Qu'Appelle;56555;73.694;19.93;56.419;43.581;39.331;60.669;63.301;29.682;46.653;45.337
Riding;47009;Regina-Wascana;62620;81.966;15.449;67.638;32.362;47.837;52.163;67.953;26.312;50.173;42.939
Riding;47010;Saskatoon-Grasswood;59815;74.682;20.451;57.636;42.364;38.156;61.844;64.679;29.443;44.111;49.104
Riding;47011;Saskatoon-University;61905;76.926;19.454;59.649;40.351;39.954;60.046;65.214;28.981;46.393;47.051
Riding;47012;Saskatoon West;60230;77.832;17.677;61.116;38.884;41.235;58.765;65.702;27.828;48.713;44.076
Riding;47013;Souris-Moose Mountain;56035;55.56;34.927;33.569;66.431;21.199;78.801;56.767;36.814;35.142;56.835
Riding;47014;Yorkton-Melville;57585;58.813;29.461;38.211;61.789;27.439;72.561;58.64;34.61;38.661;53.281
Riding;48001;Banff-Airdrie;79975;67.364;24.635;46.692;53.308;28.769;71.231;60.126;32.238;43.468;49.889
Riding;48002;Battle River-Crowfoot;82125;56.06;33.72;36.175;63.825;22.374;77.626;55.718;36.604;35.883;57.191
Riding;48003;Bow River;75525;57.173;32.822;38.337;61.663;22.814;77.186;55.829;36.334;36.667;55.361
Riding;48004;Calgary Centre;94120;74.94;18.678;53.989;46.011;32.356;67.644;63.899;28.589;51.894;40.396
Riding;48005;Calgary Confederation;94955;74.884;18.127;55.922;44.078;34.286;65.714;64.593;28.109;52.475;40.118
Riding;48006;Calgary Forest Lawn;87490;71.894;19.024;53.818;46.182;34.318;65.682;61.409;29.368;49.46;42.886
Riding;48007;Calgary Heritage;88600;66.348;25.884;45.684;54.316;28.15;71.85;59.534;32.915;43.452;49.736
Riding;48008;Calgary Midnapore;90075;63.595;27.37;41.68;58.32;26.873;73.127;58.806;33.67;39.794;53.611
Riding;48009;Calgary Nose Hill;88905;69.422;22.32;47.367;52.633;29.383;70.617;60.753;30.912;46.327;46.719
Riding;48010;Calgary Rocky Ridge;84160;68.404;24.536;49.233;50.767;28.239;71.761;61.011;31.829;44.089;48.227
